"item_id","point_name","equipment","parent_equipment_name","equipment_type"
39574,Tank Interface Level,NEVELS/ADDAX/NAB/PANDORA Water Tank 3,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39577,Tank Top Level,NEVELS/ADDAX/NAB/PANDORA Oil Tank 2,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39578,Tank Interface Level,NEVELS/ADDAX/NAB/PANDORA Oil Tank 2,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39579,Tank Top Level,NEVELS/ADDAX/NAB/PANDORA Oil Tank 3,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39580,Tank Interface Level,NEVELS/ADDAX/NAB/PANDORA Oil Tank 3,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39581,Tank Top Level,NEVELS/ADDAX/NAB/PANDORA Oil Tank 4,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39582,Tank Interface Level,NEVELS/ADDAX/NAB/PANDORA Oil Tank 4,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39585,Tubing Pressure,PANDORA A 1H,PANDORA Well Pad,Gas Lift
39586,Casing Pressure,PANDORA A 1H,PANDORA Well Pad,Gas Lift
39587,HP Separator Pressure,PANDORA A 1H,PANDORA Well Pad,Gas Lift
39588,Tubing Pressure,PANDORA B 2H,PANDORA Well Pad,Gas Lift
39589,Casing Pressure,PANDORA B 2H,PANDORA Well Pad,Gas Lift
39590,HP Separator Pressure,PANDORA B 2H,PANDORA Well Pad,Gas Lift
39591,Flow Rate,PANDORA A 1H Water Meter,PANDORA A 1H,Water Meter
39592,Flow Today,PANDORA A 1H Water Meter,PANDORA A 1H,Water Meter
39593,Flow Yesterday,PANDORA A 1H Water Meter,PANDORA A 1H,Water Meter
39594,Flow Rate,PANDORA A 1H Oil Meter,PANDORA A 1H,Oil Meter
39595,Flow Today,PANDORA A 1H Oil Meter,PANDORA A 1H,Oil Meter
39596,Flow Yesterday,PANDORA A 1H Oil Meter,PANDORA A 1H,Oil Meter
39597,Flow Rate,PANDORA B 2H Water Meter,PANDORA B 2H,Water Meter
39598,Flow Today,PANDORA B 2H Water Meter,PANDORA B 2H,Water Meter
39599,Flow Yesterday,PANDORA B 2H Water Meter,PANDORA B 2H,Water Meter
39600,Flow Rate,PANDORA B 2H Oil Meter,PANDORA B 2H,Oil Meter
39601,Flow Today,PANDORA B 2H Oil Meter,PANDORA B 2H,Oil Meter
39602,Flow Yesterday,PANDORA B 2H Oil Meter,PANDORA B 2H,Oil Meter
39603,Flow Rate,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39604,Differential Pressure,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39605,Static Pressure,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39606,Temperature,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39607,Today Volume,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39608,Yesterday Volume,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39609,Accumulated Volume,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39610,Battery Voltage,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39611,Last Meter History Collected,PANDORA A 1H Production Meter,PANDORA A 1H,Gas Meter
39612,Flow Rate,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39613,Differential Pressure,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39614,Static Pressure,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39615,Temperature,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39616,Today Volume,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39617,Yesterday Volume,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39618,Accumulated Volume,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39619,Battery Voltage,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39620,Last Meter History Collected,PANDORA B 2H Production Meter,PANDORA B 2H,Gas Meter
39621,Flow Rate,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39622,Differential Pressure,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39623,Static Pressure,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39624,Temperature,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39625,Today Volume,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39626,Yesterday Volume,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39627,Accumulated Volume,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39628,Battery Voltage,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
39629,Last Meter History Collected,PANDORA A 1H Gas Lift Meter,PANDORA A 1H,Gas Meter
