ID,Timestamp,Value,point_name,equipment,parent_equipment_name,equipment_type,Name,Accounting Number
10082,2022-02-21 15:42:18.704+00,4.881,Tubing Pressure,SHARKTOOTH (SA) UNIT 2 2H,SHARKTOOTH Well Pad,Gas Lift,SHARKTOOTH (SA) UNIT 2 2H,204512.01
10007,2022-02-21 15:42:18.704+00,8.0,Casing Pressure,BLOODSTONE D 4H,BLOODSTONE C 3H D 4H Well Pad,Gas Lift,BLOODSTONE D 4H,204687.01
10092,2022-02-21 15:42:18.704+00,181.426,Tubing Pressure,TURQUOISE B 2H,TURQUOISE Well Pad,Gas Lift,TURQUOISE B 2H,204701.01
10012,2022-02-21 15:42:18.704+00,209.0,Tubing Pressure,CARBONITE C3H,CARBONITE Well Pad,Gas Lift,CARBONITE C3H,204720.01
10095,2022-02-21 15:42:18.704+00,919.023,Casing Pressure,TURQUOISE C 3H,TURQUOISE Well Pad,Gas Lift,TURQUOISE C 3H,204717.01
10029,2022-02-21 15:42:18.704+00,66.917,Casing Pressure,EMERALD A1H,EMERALD Well Pad,Gas Lift,EMERALD A1H,204656.01
10026,2022-02-21 15:42:18.704+00,36.431,Tubing Pressure,DRAGONSTONE B 2H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift,DRAGONSTONE B 2H,204684.01
10014,2022-02-21 15:42:18.704+00,751.0,Tubing Pressure,CORAL A 1H,CORAL Well Pad,Gas Lift,CORAL A 1H,204637.01
10091,2022-02-21 15:42:18.704+00,60.162,Casing Pressure,TURQUOISE A 1H,TURQUOISE Well Pad,Gas Lift,TURQUOISE A 1H,204700.01
10031,2022-02-21 15:42:18.704+00,67.547,Casing Pressure,EMERALD B2H,EMERALD Well Pad,Gas Lift,EMERALD B2H,204657.01
10000,2022-02-21 15:42:18.704+00,54.046,Tubing Pressure,BIG FIVE A1 H,BIG FIVE Well Pad,Gas Lift,BIG FIVE A1 H,204600.01
10083,2022-02-21 15:42:18.704+00,67.219,Casing Pressure,SHARKTOOTH (SA) UNIT 2 2H,SHARKTOOTH Well Pad,Gas Lift,SHARKTOOTH (SA) UNIT 2 2H,204512.01
